grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Sarajevo - Novo Sarajevo,76,3,3,centralno,1,1,0,0,299000
Sarajevo - Novi Grad,75,prizemlje,četverosoban,centralno,0,1,0,2,295000
Sarajevo - Stari Grad,75,2,3,ostalo,0,1,1,0,295000
Sarajevo - Centar,89,visoko,3,centralno,0,1,0,0,350000
Sarajevo - Centar,56,visoko,2,struja,0,1,0,2,220000
Sarajevo - Novi Grad,65.2,5,2,centralno,1,0,1,0,255552
Sarajevo - Novi Grad,97.8,5,četverosoban,centralno,1,0,1,0,383327
Sarajevo - Centar,69,2,3,centralno,0,0,0,0,269999
Ilidža,90,6,3,ostalo,1,1,0,0,352000
Sarajevo - Novo Sarajevo,90,2,četverosoban,centralno,0,1,0,2,351990
Sarajevo - Centar,96,visoko,četverosoban,centralno,0,0,0,2,375000
Sarajevo - Stari Grad,64,visoko,3,centralno,0,1,0,0,250000
Sarajevo - Novo Sarajevo,64,5,2,centralno,1,0,0,2,250000
Ilidža,42,3,2,centralno,1,1,0,1,164000
Ilidža,90,6,3,ostalo,1,1,0,0,351000
Sarajevo - Novo Sarajevo,51,1,2,centralno,1,1,0,0,198900
Sarajevo - Novo Sarajevo,40,prizemlje,1,struja,0,0,0,2,156000
Sarajevo - Stari Grad,50,prizemlje,četverosoban,ostalo,0,0,0,0,194500
Sarajevo - Novo Sarajevo,72,3,3,centralno,0,1,0,2,280000
Sarajevo - Novo Sarajevo,54,5,2,centralno,0,1,0,2,210000
Sarajevo - Centar,77,3,3,plin,0,0,0,0,299000
Sarajevo - Centar,77,3,3,struja,0,0,0,0,299000
Sarajevo - Novo Sarajevo,51,5,2,centralno,0,1,0,1,198000
Sarajevo - Novi Grad,76,3,3,centralno,1,1,0,1,295000
Sarajevo - Novi Grad,89,6,četverosoban,centralno,1,1,0,2,345000
Sarajevo - Novo Sarajevo,80,13,3,centralno,1,1,0,2,310000
Sarajevo - Novo Sarajevo,80,13,3,centralno,1,1,0,2,310000
Sarajevo - Centar,64,4,2,struja,0,1,0,2,248000
Sarajevo - Novo Sarajevo,40,visoko,2,centralno,0,0,0,0,155000
Sarajevo - Novi Grad,40,4,2,centralno,1,1,0,2,155000
Sarajevo - Centar,62,visoko,2,centralno,0,1,0,2,240000
Sarajevo - Stari Grad,72,4,četverosoban,centralno,0,1,0,1,278500
Sarajevo - Novo Sarajevo,53,2,2,plin,0,0,0,0,205000
Sarajevo - Novo Sarajevo,45,1,1.5,plin,0,1,0,1,174000
Sarajevo - Centar,66,4,3,struja,0,1,0,2,255000
Ilidža,43,visoko,2,struja,1,1,1,2,166000
Sarajevo - Novo Sarajevo,52,5,2,struja,0,1,0,2,200700
Sarajevo - Centar,96,3,četverosoban,centralno,0,1,0,2,370000
Sarajevo - Centar,41,visoko,1,centralno,1,0,0,0,158000
Sarajevo - Novi Grad,40,1,1.5,centralno,1,1,0,2,154000
Sarajevo - Novi Grad,65,5,3,centralno,1,1,0,0,250000
Sarajevo - Centar,86,suteren,3,centralno,0,1,0,0,330000
Sarajevo - Novi Grad,79.2,7,3,ostalo,1,1,1,0,303685
